unique_id	str_order	occ_cur	T_mean_sum	T_inertia	featureid
551	5	0.663729932	15.53831167	239.0878189	201476058
553	1	0.816387961	17.17255009	162.2388147	201476060
562	2	0.816387961	17.17255009	162.2388147	201476060
554	1	0.816387961	17.17255009	162.2388147	201476060
561	2	0.816387961	17.17255009	162.2388147	201476060
552	1	0.816387961	17.17255009	162.2388147	201476060
555	1	0.816387961	17.17255009	162.2388147	201476060
556	2	0.816387961	17.17255009	162.2388147	201476060
557	2	0.816387961	17.17255009	162.2388147	201476060
539	2	0.816387961	17.17255009	162.2388147	201476060
560	2	0.816387961	17.17255009	162.2388147	201476060
566	2	0.816387961	17.17255009	162.2388147	201476060
563	1	0.816387961	17.17255009	162.2388147	201476060
564	2	0.816387961	17.17255009	162.2388147	201476060
565	2	0.816387961	17.17255009	162.2388147	201476060
567	2	0.816387961	17.17255009	162.2388147	201476060
559	2	0.816387961	17.17255009	162.2388147	201476060
540	2	0.816387961	17.17255009	162.2388147	201476060
558	1	0.816387961	17.17255009	162.2388147	201476060
569	5	NA	NA	NA	201476067
465	3	NA	NA	NA	201476069
466	5	NA	NA	NA	201476069
467	5	NA	NA	NA	201476069
468	5	NA	NA	NA	201476069
469	5	NA	NA	NA	201476069
494	1	0.416912242	16.56741552	153.3635961	201476086
493	1	0.416912242	16.56741552	153.3635961	201476086
571	1	0.98320142	12.7741314	342.022632	201476089
570	1	0.98320142	12.7741314	342.022632	201476089
577	2	0.982409174	14.81836793	187.0841061	201476090
489	2	0.982409174	14.81836793	187.0841061	201476090
578	1	0.982409174	14.81836793	187.0841061	201476090
575	1	0.982409174	14.81836793	187.0841061	201476090
576	1	0.982409174	14.81836793	187.0841061	201476090
490	2	0.982409174	14.81836793	187.0841061	201476090
582	1	0.995805246	12.76566525	462.6400468	201476107
590	1	0.995805246	12.76566525	462.6400468	201476107
589	1	0.995805246	12.76566525	462.6400468	201476107
588	2	0.995805246	12.76566525	462.6400468	201476107
587	1	0.995805246	12.76566525	462.6400468	201476107
586	2	0.995805246	12.76566525	462.6400468	201476107
585	2	0.995805246	12.76566525	462.6400468	201476107
584	2	0.995805246	12.76566525	462.6400468	201476107
583	1	0.995805246	12.76566525	462.6400468	201476107
