unique_id	cross_prior	eco_dis	trans_vuln	max_rof	int_del	impass	deltaln	effectln	effln16Cur	effln18Cur	effln20Cur	effln22Cur	effln16Fut	effln18Fut	effln20Fut	effln22Fut	anad_rest	struct_rof	geo_rof	hydCurAll	hydCurStat	hydCurPhys	hydMCAll	hydMCPhys	ave_del	aff_del	max_del	bar_type	drain_tot	drain_bar	strkm_tot	strkm_bar	upstr_bars	slope_perc	Q2_m3_s	w_W_m2_ST	obs_date	jurisdiction	nhs	crossing_id	featureid
98	0.311375002	0.557657716	NA	NA	NA	0.359	0.615086153	0.557657716	0.545454545	0.608897832	0.608897832	0.608897832	0	0.545454545	0.608897832	0.608897832	0.115475477	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.1653	0.5625	3.207415039	0.498637658	3	1.76	3.61166206	89.24231965	NA	NA	NA	xy4298338572885373	201474653
99	0.360993285	0.646521685	NA	NA	NA	0.305	0.683603804	0.646521685	0.636363636	0.706440258	0.706440258	0.706440258	0	0.636363636	0.706440258	0.706440258	0.205313864	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.8988	0.0828	3.778363303	0.157733226	5	1.76	3.61166206	89.24231965	NA	NA	NA	xy4297952772881621	201474653
101	0.318387308	0.57021642	NA	NA	NA	0.268	0.610738255	0.57021642	0.545454545	0.623159156	0.623159156	0.623159156	0	0.545454545	0.623159156	0.623159156	0.119605478	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.816	0.6507	3.620630076	0.413215037	4	1.76	3.61166206	89.24231965	NA	NA	NA	xy4298047372882983	201474653
103	0.355321414	0.636363636	NA	NA	NA	0.412	0.671996072	0.619774652	0.636363636	0.676293453	0.676293453	0.676293453	0	0.636363636	0.676293453	0.676293453	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.4725	0.4725	0.920337514	0.920337514	0	10.5299997	0.617284062	220.737197	NA	NA	NA	xy4298938472892990	201474653
108	0.406081616	0.727272727	NA	NA	NA	0.237	0.690881087	0.668089119	0.727272727	0.73003617	0.73003617	0.73003617	0.222222222	0.727272727	0.73003617	0.73003617	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.2636	1.2636	1.899171784	1.899171784	0	5.9200001	1.316107497	181.2057711	NA	NA	NA	xy4297860772878534	201475020
110	NA	NA	NA	NA	NA	0.419	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.2916	0.2916	0.551974634	0.551974634	0	2.29	0.726515856	52.0790022	NA	NA	NA	xy4299841672953797	201474695
116	NA	NA	NA	NA	NA	0.39	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.0504	0.0504	0.231540934	0.231540934	0	7.25	0.138015077	71.86309282	NA	NA	NA	xy4297509672846929	201474705
118	NA	NA	NA	NA	NA	0.232	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	6.39	2.6649	7.759733941	3.809042629	1	3.1199999	2.77197343	138.5969716	NA	NA	NA	xy4300395273019443	201474721
121	NA	NA	NA	NA	NA	0.435	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.8694	0.8694	0.952067066	0.952067066	0	7.25	1.827622105	261.5085177	NA	NA	NA	xy4300346473024569	201474720
124	0.365545131	0.654673824	NA	NA	NA	0.347	0.654383182	0.654673824	0.636363636	0.714659542	0.714659542	0.714659542	0	0.636363636	0.714659542	0.714659542	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.7002	0.7002	1.031108012	1.031108012	0	4.0700002	0.956452349	106.2015188	NA	NA	NA	xy4298880172954030	201474728
126	0.369401682	0.661580722	NA	NA	NA	0.372	0.682423362	0.661580722	0.636363636	0.722024529	0.722024529	0.722024529	0	0.636363636	0.722024529	0.722024529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.3969	0.3969	0.912475709	0.912475709	0	4.54	0.531228678	88.28791006	NA	NA	NA	xy4298987572952728	201474728
128	NA	NA	NA	NA	NA	0.159	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	9.1089	1.8495	11.30596885	2.594167841	3	3.3099999	8.265389455	253.9009223	NA	NA	NA	xy4299285073011868	201474778
132	0.406081616	0.727272727	NA	NA	NA	0.402	0.675011177	0.68626606	0.727272727	0.750188123	0.750188123	0.750188123	0	0.727272727	0.750188123	0.750188123	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.3312	0.3312	0.372052438	0.372052438	0	5.4200001	1.027103645	146.5585161	NA	NA	NA	xy4298341572935354	201474796
135	0.406081616	0.727272727	NA	NA	NA	0.374	0.738722075	0.69334188	0.727272727	0.757230319	0.757230319	0.757230319	0.777777778	0.727272727	0.757230319	0.757230319	0.221207678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	2.6082	2.6082	2.858384575	2.858384575	0	5.7399998	4.432842074	322.4464768	NA	NA	NA	xy4297084872897253	201474806
139	0.226302739	0.405297368	NA	NA	NA	0.37	0.482984205	0.405297368	0.363636364	0.442388188	0.442388188	0.442388188	0	0.363636364	0.442388188	0.442388188	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.864	0.864	0.252407542	0.252407542	0	6.4400001	1.262301094	193.0509672	NA	NA	NA	xy4297985972895795	201474807
140	0.365642842	0.654848819	NA	NA	NA	0.477	0.729491837	0.654848819	0.636363636	0.715804484	0.715804484	0.715804484	0	0.636363636	0.715804484	0.715804484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.3419	0.3231	1.12776746	0.423423857	2	7.1500001	1.308189344	218.1955969	NA	NA	NA	xy4297249272894923	201474807
141	0.355321414	0.636363636	NA	NA	NA	0.443	0.669559963	0.588092537	0.636363636	0.642885527	0.642885527	0.642885527	0	0.636363636	0.642885527	0.642885527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.0188	0.1548	0.704343604	0.451936062	1	6.4400001	1.262301094	193.0509672	NA	NA	NA	xy4297607672895461	201474807
148	0.318145781	0.569783857	NA	NA	NA	0.373	0.588546011	0.569783857	0.545454545	0.621829762	0.621829762	0.621829762	0	0.545454545	0.621829762	0.621829762	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.3924	0.3924	0.485947833	0.485947833	0	6.5900002	0.427170724	114.9187243	NA	NA	NA	xy4299545172976800	201474820
151	0.456841818	0.818181818	NA	NA	NA	0.24	0.767509874	0.763682447	0.818181818	0.834886009	0.834886009	0.834886009	0	0.818181818	0.834886009	0.834886009	0.247673591	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4.4757	4.4253	5.306120468	5.074579534	1	2.6700001	4.014606555	142.7372745	NA	NA	NA	xy4296353272838098	201474849
152	0.456841818	0.818181818	NA	NA	NA	0.271	0.793802298	0.790753205	0.818181818	0.86433951	0.86433951	0.86433951	0	0.818181818	0.86433951	0.86433951	0.151311792	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	4.6926	0.2169	5.450582345	0.144461877	2	2.6700001	4.014606555	142.7372745	NA	NA	NA	xy4296228672837664	201474849
155	0.456841818	0.818181818	NA	NA	NA	0.408	0.792194201	0.766445271	0.818181818	0.837804461	0.837804461	0.837804461	0	0.818181818	0.837804461	0.837804461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1.4886	1.4886	0.879022916	0.879022916	0	4.1100001	1.472593352	133.072368	NA	NA	NA	xy4295959072827306	201474850
157	NA	NA	NA	NA	NA	0.29	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3.591	3.591	4.013946441	4.013946441	0	2.51	3.477313284	124.8821195	NA	NA	NA	xy4298931773013015	201474860
