score	bar_type	drain_bar	drain_tot	strkm_bar	strkm_tot	upstr_bars	str_order	observed_date	unique_id	featureid
0.689	1	0.3789	2.8953	0.561235679	3.473833944	2	2		287	201475340
0.815	1	4.8519	7.3539	4.473261382	4.907172431	1	2		293	201475373
0.72	1	0.0459	9.1287	0.05542144	5.660266202	3	2		294	201475373
0.792	1	0.1314	9.2601	0.269399255	5.929665457	4	2		295	201475373
0.772	1	1.7289	9.0828	0.697672331	5.604844762	2	2		296	201475373
0.792	1	0	9.2601	0.00647945	5.936144906	5	2		297	201475373
0.848	1	0.1449	9.405	0.277743247	6.213888153	6	2		298	201475373
0.969	1	4.1967	73.377	3.314817445	70.27220827	24	4		299	201475364
0.634	1	2.502	2.502	0.433911049	0.433911049	0	1		304	201475462
0.756	1	0.5517	9.1755	0.485766299	8.65580751	5	2		307	201475422
0.667	1	0.0144	0.0144	0.090911203	0.090911203	0	1		310	201475422
0.653	1	0.2511	0.2511	0.316326924	0.316326924	0	1		314	201475435
0.671	1	0.018	0.2691	0.109492007	0.42581893	1	1		315	201475435
0.575	1	3.0753	3.0753	3.079164571	3.079164571	0	1		317	201475564
0.621	1	1.6551	1.6551	1.594936529	1.594936529	0	1		321	201475445
0.592	1	0.1377	1.7928	0.083076143	1.678012672	1	1		322	201475445
0.68	1	0.2412	2.1033	0.367638951	2.263505758	4	1		323	201475445
0.633	1	0.0072	1.8621	0.036420358	1.895866807	3	1		324	201475445
0.652	1	0.0621	1.8549	0.181433776	1.859446448	2	1		325	201475445
0.623	1	0.6921	0.6921	0.681201278	0.681201278	0	1		336	201475473
0.599	1	0.0189	0.711	0.098015877	0.779217156	1	1		337	201475473
0.867	1	2.1618	17.0838	2.020452235	15.93768406	11	3		339	201475486
0.918	1	2.0493	14.922	2.046517291	13.91723182	10	2		341	201475589
0.967	1	30.042	43.3323	20.56610098	29.29442908	11	3		348	201475513
0.671	1	3.0249	3.0249	2.634654127	2.634654127	0	1		351	201475514
0.76	1	0.4878	3.5127	0.735720756	3.370374883	1	1		352	201475514
0.917	1	5.9544	18.9162	5.581373478	18.09556272	9	3		355	201475578
0.901	1	1.7199	20.6361	0.702069479	18.79763219	10	3		356	201475578
0.92	1	1.0395	21.6756	1.016172402	19.8138046	11	3		357	201475578
0.952	1	1.7667	76.8708	2.885206868	75.53814507	57	4		360	201475579
0	1	0.0747	0.0747	0.167055986	0.167055986	0	1		362	201475579
0.622	1	0.1476	0.2223	0.48826423	0.655320216	1	1		363	201475579
0.736	1	4.4406	4.8969	3.920452098	4.411797746	1	2		365	201475585
0.868	1	1.179	9.5886	0.577853891	8.36002652	4	2		366	201475585
0.841	1	0.486	10.0746	0.586926194	8.946952713	5	2		367	201475585
0.845	1	0.2421	10.3167	0.364996549	9.311949262	6	2		368	201475585
0.65	1	0.0135	0.0135	0.033029055	0.033029055	0	1		370	201475844
0.3	2	2.4768	2.4903	2.379876346	2.412905401	1	1		371	201475844
0.721	1	0.0657	2.556	0.145859869	2.55876527	2	1		372	201475844
0.962	1	5.625	5.625	6.380572592	6.380572592	0	2		377	201475618
0.613	1	0.4563	0.4563	0.491345648	0.491345648	0	1		383	201475651
0	1	0.9675	0.9675	1.407643484	1.407643484	0	2		389	201475655
0	2	34.9002	228.4641	38.44324943	226.8745927	64	5		395	201475835
0	1	1.8378	1.8378	1.216842042	1.216842042	0	1		400	201475751
0.968	1	3.8853	102.654	2.814319373	98.82158925	72	4		403	201475764
0.672	1	2.2149	2.2149	2.028433897	2.028433897	0	1		409	201475825
0.676	1	0.2286	3.5505	0.300525452	2.843631527	2	1		410	201475825
0.706	1	1.107	3.3219	0.514672177	2.543106074	1	1		412	201475825
0.582	1	1.4436	1.4436	2.491747954	2.491747954	0	1		414	201475828
0.611	1	1.1655	3.2553	0.738638046	4.703719208	4	1		415	201475828
0.628	1	0.0117	2.0898	0.035964478	3.965081162	3	1		416	201475828
0.624	1	0.4023	2.0781	1.019811705	3.929116684	2	1		417	201475828
0.565	1	0.2322	1.6758	0.417557026	2.909304979	1	1		418	201475828
0.63	1	0.4212	0.4212	0.342288535	0.342288535	0	1		421	201475851
0.646	1	0.0252	1.9143	0.093463412	1.84658398	2	1		422	201475851
0.58	1	1.4679	1.8891	1.410832033	1.753120568	1	1		423	201475851
0.665	1	2.0403	2.0403	1.2442006	1.2442006	0	1		427	201475878
0.642	1	0.0882	2.1285	0.238205287	1.482405887	1	1		428	201475878
0.607	1	0.4023	0.4023	0.363991103	0.363991103	0	1		450	201475935
0	1	0.6543	2.0061	1.040920554	2.773790194	2	2		451	201475980
0.682	1	0.9495	0.9495	1.368878537	1.368878537	0	1		454	201475936
0.805	1	1.4409	8.2467	0.9300005	8.477351234	8	2		457	201475959
0.795	1	1.6353	9.882	1.306291302	9.783642536	9	2		458	201475959
0	2	0.5706	0.5706	0.447733618	0.447733618	0	1		461	201476132
0.678	1	2.7747	3.3453	0.123664729	0.571398347	1	1		462	201476132
0	2	1.3554	4.7007	1.030921854	1.602320201	2	1		463	201476132
0.724	1	0.0018	4.7025	0.046405881	1.648726083	3	1		464	201476132
0.77	1	0.0081	6.3567	0.039393804	3.092924787	6	1		465	201476132
0.766	1	0.756	6.3486	0.401480122	3.053530984	5	1		466	201476132
0	1	0.8901	5.5926	1.003324778	2.652050861	4	1		467	201476132
0.803	1	0.3321	8.0109	0.893796532	9.033853297	4	3		469	201475983
1	1	6.6744	245.0637	9.649476124	247.4045061	73	5		471	201476069
1	1	0.5769	245.9124	0.573379857	248.4121988	75	5		472	201476069
1	1	0.2718	245.3355	0.434312771	247.8388189	74	5		474	201476069
0.914	1	0.6903	19.0881	1.569946952	27.8784943	29	4		478	201476002
0.933	1	0.8136	21.1887	1.02900684	29.66964362	31	4		479	201476002
0.943	1	1.287	20.3751	0.762142482	28.64063678	30	4		481	201476002
0.938	1	3.3093	108.0918	4.373239953	104.6772351	75	4		482	201475972
0.66	1	0.6201	0.6201	0.484074482	0.484074482	0	1		485	201475971
0.654	1	0.6471	0.6471	0.266254066	0.266254066	0	2		487	201475973
0.719	1	3.6531	4.1976	2.892450802	3.177052629	1	2		491	201476151
0.585	1	1.9404	1.9404	2.998268246	2.998268246	0	2		493	201476090
0.616	1	1.5408	3.4812	1.96473589	4.963004135	1	2		494	201476090
0.529	1	0.6876	0.6876	0.575432289	0.575432289	0	1		497	201476086
0.919	1	0.6255	1.3131	0.742995858	1.318428146	1	1		498	201476008
0.687	1	1.7064	1.7064	2.577367104	2.577367104	0	2		500	201476011
0.693	1	0	2.1087	0.018943644	2.72234665	2	2		501	201476011
0.693	1	0.4023	2.1087	0.126035902	2.703403006	1	2		503	201476011
0.703	1	0.126	0.126	0.27589466	0.27589466	0	1		507	201476012
0.739	1	2.7	2.7234	3.964448343	4.071243868	1	2		510	201476024
0.615	1	0.0234	0.0234	0.106795525	0.106795525	0	1		514	201476024
0.916	1	1.5246	16.4376	3.029399546	24.72386514	25	4		525	201476033
0.631	1	2.7216	3.3651	3.638353327	4.456192698	3	3		528	201476034
0.706	1	0.1521	3.5838	0.520310944	5.084767157	5	3		529	201476034
0.754	1	0.0666	3.4317	0.108263515	4.564456213	4	3		530	201476034
0.585	1	0.5634	0.5634	0.412669041	0.412669041	0	1		536	201476034
0.601	1	0.0198	0.5832	0.066085242	0.478754283	1	1		537	201476034
0.68	1	0.0603	0.0603	0.339085088	0.339085088	0	1		539	201476034
0	1	3.0402	3.0402	2.411190516	2.411190516	0	1		541	201476042
0.837	1	1.1439	7.5492	1.772075985	9.644112363	10	2		545	201476060
1	1	7.3908	256.3434	8.220137575	259.0435269	77	5		546	201476053
0.564	1	1.1511	1.1511	1.360597095	1.360597095	0	1		549	201476133
0.674	1	0.0081	1.1592	0.094799039	1.455396135	1	1		550	201476133
0.634	1	1.0962	1.0962	1.136161769	1.136161769	0	1		553	201476131
0.56	1	0.5823	0.5823	0.949609565	0.949609565	0	1		557	201476060
0.556	1	0.0045	0.5868	0.029584399	0.979193964	1	1		558	201476060
0.793	1	0.0036	0.5904	0.039179122	1.018373086	2	1		559	201476060
0.736	1	0.5904	6.4053	0.684914933	7.872036378	9	2		562	201476060
0.77	1	0.0711	5.0472	0.226272532	6.566768293	6	2		564	201476060
0.75	1	0.6543	5.7015	0.48772257	7.054490862	7	2		565	201476060
0.701	1	0.1134	5.8149	0.132630583	7.187121445	8	2		566	201476060
0.699	1	3.6459	3.6459	4.473420737	4.473420737	0	2		568	201476060
0.692	1	0.2961	3.942	0.462416558	4.935837295	1	2		569	201476060
0.677	1	0.4437	4.3857	0.386285379	5.322122674	2	2		570	201476060
0.62	1	1.3545	1.3545	1.196205097	1.196205097	0	1		573	201476089
0.748	1	3.6342	3.6342	3.109826972	3.109826972	0	2		575	201476205
0.729	1	0.1071	3.7413	0.11252921	3.222356182	1	2		576	201476205
0.553	1	0.6957	0.6957	0.532051157	0.532051157	0	1		582	201476108
0.584	1	0.5643	1.26	0.598686566	1.130737723	1	1		583	201476108
0.668	1	0.7164	0.7164	0.956689866	0.956689866	0	2		597	201476141
0.729	1	0.8073	3.0312	1.621448958	5.942361045	5	3		600	201476152
0.756	1	0.0324	3.0636	0.066535158	6.008896203	6	3		601	201476152
